,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,7072,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 7 IM. HUGONA KOŁŁĄTAJA W BIAŁYMSTOKU,Białystok,ul. Wiatrakowa 18,46,62,15,64,67,46,48,24,48,52,47,76,23,84,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,10122,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA ŚW.ŚW. CYRYLA I METODEGO W BIAŁYMSTOKU,Białystok,ul. Ludwika Waryńskiego 30,14,69,13,66,64,14,69,22,74,88,5,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,14962,dla młodzieży,Nie,PRYWATNA SZKOŁA PODSTAWOWA INFORMATYCZNO-JĘZYKOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI,Białystok,ul. Józefa Ignacego Kraszewskiego 33,6,,,,,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,15740,dla młodzieży,Nie,"AKADEMIA SUKCESU ""NASZA SZKOŁA"" PRYWATNA SZKOŁA PODSTAWOWA NR 8 IM. MARII KONOPNICKIEJ W BIAŁYMSTOKU",Białystok,ul. ks. Arcybiskupa Edwarda Kisiela 8,12,59,23,58,31,12,56,25,54,24,12,82,22,89,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,22194,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA IM. KS. FRANCISZKA BLACHNICKIEGO,Białystok,ul. Transportowa 2,21,67,14,69,56,21,63,24,64,56,21,81,22,95,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,24780,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA NR 3 BIAŁOSTOCKIEGO TOWARZYSTWA OŚWIATOWEGO W BIAŁYMSTOKU,Białystok,ul. Kalinowa 5,16,74,8,72,71,16,74,16,80,80,15,93,9,96,96,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,54463,dla młodzieży,Tak,"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 2 W BIAŁYMSTOKU, SZKOŁA PODSTAWOWA NR 14 Z ODDZIAŁAMI INTEGRACYJNYMI IM. KAZIMIERZA PUŁASKIEGO W BIAŁYMSTOKU",Białystok,ul. Kazimierza Pułaskiego 25,95,64,16,67,51,95,60,26,56,48,93,80,23,87,100,,,,,,,,,,,,,,,,3,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,57067,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 IM. TADEUSZA KOŚCIUSZKI W BIAŁYMSTOKU,Białystok,ul. Strażacka 25,50,76,12,78,82,50,76,21,80,100,50,89,18,96,100,,,,,,,,,,,,,,,,1,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,59870,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 21 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W BIAŁYMSTOKU,Białystok,ul. Polowa 7/1,84,53,20,55,69,84,39,26,32,28,83,61,28,65,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,64508,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 28 IM. KONSTANTEGO ILDEFONSA GAŁCZYŃSKIEGO W BIAŁYMSTOKU,Białystok,ul. Warmińska 55,58,63,17,64,58,58,59,28,56,92,57,78,22,87,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,64510,dla młodzieży,Tak,"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH MISTRZOSTWA SPORTOWEGO NR 2 W BIAŁYMSTOKU, SZKOŁA PODSTAWOWA NR 29 IM. SYNÓW PUŁKU W BIAŁYMSTOKU",Białystok,ul. Promienna 13A,59,57,15,58,58,59,59,25,60,40,58,72,26,82,95,,,,,,,,,,,,,,,,1,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,64511,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 31 IM. JANUSZA KORCZAKA W BIAŁYMSTOKU,Białystok,ul. Żurawia 12,11,53,16,58,58,11,37,29,24,8,11,52,29,38,24,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,64512,dla młodzieży,Tak,"SZKOŁA PODSTAWOWA NR 32 IM. MJR. HENRYKA DOBRZAŃSKIEGO PS. ""HUBAL"" ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH MISTRZOSTWA SPORTOWEGO NR 3 ""PIETRASZE"" W BIAŁYMSTOKU",Białystok,ul. Pietrasze 29,90,61,16,62,67,90,55,24,54,56,87,79,26,93,100,,,,,,,,,,,2,,,,,4,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,64546,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 34 IM. GEN. JÓZEFA ZACHARIASZA BEMA W BIAŁYMSTOKU,Białystok,ul. Pogodna 12,53,51,19,53,36,53,44,24,40,20,53,65,28,73,98,,,,,,,,,,,1,,,,,1,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,64739,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 37 IM. KAZIMIERZA GÓRSKIEGO W BIAŁYMSTOKU,Białystok,ul. Jaworowa 8,77,64,14,64,67,77,55,26,60,80,77,75,26,87,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,64808,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 43 IM. SIMONY KOSSAK W BIAŁYMSTOKU,Białystok,ul. Stroma 16,63,67,16,69,49,63,54,27,52,16,63,79,24,91,93,,,,,,,,,,,,,,,,2,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,65280,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 45 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ŚWIĘTEGO JANA PAWŁA II W BIAŁYMSTOKU,Białystok,ul. Łagodna 10,114,64,19,67,71,114,52,23,48,40,111,74,27,87,98,,,,,,,,,,,3,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,66156,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 51 IM. LUDWIKA ZAMENHOFA W BIAŁYMSTOKU,Białystok,ul. Jana Krzysztofa Kluka 11A,46,65,18,70,71,46,58,24,64,48,46,80,23,91,100,,,,,,,,,,,,,,,,5,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,70080,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA NR 4 PODLASKIEGO TOWARZYSTWA OŚWIATOWEGO W BIAŁYMSTOKU,Białystok,ul. Dzielna 19,32,75,12,73,73,32,80,18,88,96,30,93,10,98,100,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,71421,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 30 SPECJALNA IM. BŁOGOSŁAWIONEGO EDMUNDA BOJANOWSKIEGO W BIAŁYMSTOKU,Białystok,ul. Orla 4,15,20,11,20,20,15,19,9,20,24,15,28,19,22,13,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,78935,dla młodzieży,Nie,SZKOŁA PODSTAWOWA ZGROMADZENIA SIÓSTR MISJONAREK ŚWIĘTEJ RODZINY IM. BŁOGOSŁAWIONEJ BOLESŁAWY LAMENT W BIAŁYMSTOKU,Białystok,ul. Adama Mickiewicza 43,19,70,12,73,60,19,76,18,84,92,18,89,9,92,80,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81620,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. JULIUSZA SŁOWACKIEGO W BIAŁYMSTOKU,Białystok,ul. Juliusza Słowackiego 4,71,69,13,69,62,71,66,25,72,92,70,83,22,93,100,,,,,,,,,,,,,,,,4,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81621,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. KS. JANA TWARDOWSKIEGO W BIAŁYMSTOKU,Białystok,ul. Bohaterów Monte Cassino 25,46,59,16,64,64,47,51,23,52,32,49,78,22,87,91,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81628,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. ADAMA MICKIEWICZA W BIAŁYMSTOKU,Białystok,ul. Gdańska 23/1,22,61,18,63,60,22,49,26,48,72,20,77,24,87,87,,,,,,,,,,,,,,,,2,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81629,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. SYBIRAKÓW W BIAŁYMSTOKU,Białystok,ul. Częstochowska 6A,58,57,15,60,60,58,45,26,44,60,62,68,30,83,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81633,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. JAROSŁAWA IWASZKIEWICZA W BIAŁYMSTOKU,Białystok,ul. Wesoła 11A,55,71,14,71,69,55,69,24,72,92,55,82,23,93,98,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81636,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 47 IM. JANA KLEMENSA BRANICKIEGO W BIAŁYMSTOKU,Białystok,ul. Palmowa 28,111,63,14,64,60,111,54,26,56,36,110,75,25,84,100,,,,,,,,,,,,,,,,2,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81638,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM. ŚWIĘTEGO KAZIMIERZA KRÓLEWICZA W BIAŁYMSTOKU,Białystok,ul. Jesienna 8,47,59,19,64,82,47,52,30,56,64,45,74,28,85,98,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81641,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 Z ODDZIAŁAMI INTEGRACYJNYMI IM. KORNELA MAKUSZYŃSKIEGO W BIAŁYMSTOKU,Białystok,ul. Poleska 27,37,61,19,62,56,37,49,27,40,24,35,70,29,82,100,,,,,,,,,,,1,,,,,2,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81642,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 12 IM. ZYGMUNTA GLOGERA W BIAŁYMSTOKU,Białystok,ul. Komisji Edukacji Narodowej 1A,163,60,17,62,64,163,52,25,48,72,158,72,27,83,100,,,,,,,,,,,1,,,,,4,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81643,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 19 IM. MIESZKA I W BIAŁYMSTOKU,Białystok,ul. Mieszka I 18,124,62,16,64,64,124,50,27,48,24,121,78,25,89,100,,,,,,,,,,,1,,,,,6,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81646,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 20 IM. GEN. WŁADYSŁAWA SIKORSKIEGO W BIAŁYMSTOKU,Białystok,ul. Leśna 30,37,69,15,71,84,37,54,27,56,68,37,72,28,85,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81648,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 44 IM. STANISŁAWA MONIUSZKI W BIAŁYMSTOKU,Białystok,ul. Rumiankowa 13,88,66,16,66,60,88,56,26,60,64,89,79,22,87,100,,,,,,,,,,,,,,,,3,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81650,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 49 Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO - PRYMASA TYSIĄCLECIA W BIAŁYMSTOKU,Białystok,ul. Armii Krajowej 32,124,63,14,67,67,124,57,24,60,68,125,80,24,91,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81651,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 50 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ŚWIĘTEJ JADWIGI KRÓLOWEJ POLSKI W BIAŁYMSTOKU,Białystok,ul. Kazimierza Pułaskiego 96,98,67,15,69,76,98,57,24,56,36,94,75,25,85,100,,,,,,,,,,,1,,,,,3,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,81653,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 52 IM. DR IRENY BIAŁÓWNY W BIAŁYMSTOKU,Białystok,ul. Dojlidy Górne 48,58,58,15,60,58,58,63,24,68,80,58,78,23,84,96,,,,,,,,,,,,,,,,1,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,82851,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA NR 2 W BIAŁYMSTOKU,Białystok,ul. Narewska 13,8,,,,,8,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,82863,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA NR 1 SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO W BIAŁYMSTOKU,Białystok,ul. Mieszka I 5,15,77,10,78,76,15,86,18,92,84,13,93,17,98,98,2,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,89110,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA IM. MATKI BOŻEJ MIŁOSIERDZIA W BIAŁYMSTOKU,Białystok,ul. Kościelna 3,28,63,13,60,47,28,64,24,70,80,28,87,15,95,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,91505,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. WŁADYSŁAWA BRONIEWSKIEGO W BIAŁYMSTOKU,Białystok,ul. Kamienna 15,89,64,18,67,73,89,55,26,56,20,86,74,26,85,98,,,,,,,,,,,1,,,,,3,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,91506,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 15 IM. MARII SKŁODOWSKIEJ - CURIE W BIAŁYMSTOKU,Białystok,ul. Władysława Broniewskiego 1,39,55,16,58,58,39,41,23,32,12,38,65,30,77,20,,,,,,,,,,,1,,,,,1,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,91507,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 26 IM. STANISŁAWA STASZICA W BIAŁYMSTOKU,Białystok,ul. Radzymińska 11,95,67,15,69,71,95,59,25,60,88,95,77,25,87,100,,,,,,,,,,,,,,,,9,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,93015,nie dotyczy,Tak,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. IM. WITOLDA LUTOSŁAWSKIEGO W BIAŁYMSTOKU,Białystok,ul. Podleśna 2,13,61,19,64,69,13,55,25,56,68,13,85,17,93,91,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,110300,dla młodzieży,Nie,PRYWATNA SZKOŁA PODSTAWOWA NR 1 W BIAŁYMSTOKU,Białystok,ul. Boruty 18,18,75,8,73,69,18,72,21,74,88,18,98,2,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,110358,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA NR 11 W BIAŁYMSTOKU,Białystok,ul. Fabryczna 10,29,71,9,71,73,29,80,15,80,72,28,93,11,96,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,124752,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 41 W ZAKŁADZIE POPRAWCZYM W BIAŁYMSTOKU,Białystok,ul. 42 Pułku Piechoty 117,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,127581,dla młodzieży,Nie,SZKOŁA PODSTAWOWA SŁONECZNA SZKOŁA W BIAŁYMSTOKU,Białystok,ul. 42 Pułku Piechoty 20,14,56,19,63,53,14,33,17,30,44,13,73,27,84,98,,,,,,,,,,,,,,,,1,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,128568,dla młodzieży,Nie,SZKOŁA PODSTAWOWA IM. ŚW. KAZIMIERZA KRÓLEWICZA W BIAŁYMSTOKU,Białystok,ul. Szkolna 2A,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,133536,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. 42 PUŁKU PIECHOTY W BIAŁYMSTOKU,Białystok,ul. Legionowa 7,27,63,15,64,44,27,55,21,48,44,28,80,24,90,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,133537,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 IM. IZABELI BRANICKIEJ W BIAŁYMSTOKU,Białystok,ul. Spacerowa 6,24,73,14,77,67,24,62,24,60,40,24,78,23,87,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,133538,dla młodzieży,Tak,"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH MISTRZOSTWA SPORTOWEGO W BIAŁYMSTOKU, SZKOŁA PODSTAWOWA NR 22 Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO W BIAŁYMSTOKU",Białystok,ul. Marii Konopnickiej 3,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,133542,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 42 IM. BŁOGOSŁAWIONEGO KS. MICHAŁA SOPOĆKI W BIAŁYMSTOKU,Białystok,ul. Sokólska 1,23,71,15,76,64,23,66,23,76,84,23,84,20,91,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,133544,dla młodzieży,Tak,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 2 W BIAŁYMSTOKU SZKOŁA PODSTAWOWA NR 53 Z ODDZIAŁAMI DWUJĘZYCZNYMI W BIAŁYMSTOKU,Białystok,ul. Narewska 11,76,80,10,80,82,76,87,13,88,100,72,96,7,98,100,,,,,,,,,,,4,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,263153,dla młodzieży,Tak,SZKOŁA PODSTAWOWA ZESPOŁU SZKÓŁ LOGIZ W BIAŁYMSTOKU,Białystok,ul. Choroszczańska 29,12,29,7,27,27,12,15,8,14,12,12,33,22,26,20,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,263208,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA MOZAIKA W BIAŁYMSTOKU,Białystok,ul. Adama Mickiewicza 50,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Białystok,Białystok,Gmina miejska,2061011,268644,dla młodzieży,Nie,LEŚNA SZKOŁA PUSZCZYK W BIAŁYMSTOKU,Białystok,ul. Adama Mickiewicza 49,3,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,8248,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA W SUWAŁKACH,Suwałki,ul. Emila Młynarskiego 2,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,13296,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. ALEKSANDRY KUJAŁOWICZ,Suwałki,ul. Sejneńska 12,114,60,17,63,71,114,50,27,46,24,114,69,29,78,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,27004,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. WŁODZIMIERZA PUCHALSKIEGO W SUWAŁKACH,Suwałki,ul. Tadeusza Kościuszki 36/38,51,56,17,60,62,51,49,24,40,28,53,68,29,78,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,27749,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. KS. KAZIMIERZA ALEKSANDRA HAMERSZMITA W SUWAŁKACH,Suwałki,ul. Wojska Polskiego 13,99,56,17,58,58,99,43,23,40,16,98,69,26,76,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,30121,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 Z ODDZIAŁAMI INTEGRACYJNYMI W SUWAŁKACH,Suwałki,ul. Szpitalna 66,102,58,14,60,60,102,48,25,46,44,102,68,26,74,93,,,,,,,,,,,,,,,,,,,,,,,,,
